candidate_id,candidate_name,initial_cuisine,initial_business_type,initial_price_band,initial_crawl_estimate,initial_priority,discovery_source,canonical_name,address,district_verified,business_status,dine_in,official_site_url,branch_page_url,social_url,booking_url,root_domain,shared_domain_group,crawl_result,extractable_fields,verification_date,evidence_urls,exclusion_reason,verification_status,reviewer
041,欣葉日本料理信義店,日式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #44,,,,,,,,,,,,,,,,,pending,
042,莫爾頓牛排館,西式,連鎖／飯店,$$$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #45,,,,,,,,,,,,,,,,,pending,
044,瓦城泰國料理－台北阪急店,東南／南亞,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #47,,,,,,,,,,,,,,,,,pending,
045,GB鮮釀餐廳信義店,台／中式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #48,,,,,,,,,,,,,,,,,pending,
046,Bel Air Bar & Grill,西式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #49,,,,,,,,,,,,,,,,,pending,
047,茶苑－台北君悅酒店,咖啡／輕食,連鎖／飯店,$$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #50,,,,,,,,,,,,,,,,,pending,
048,漂亮台式海鮮餐廳,台／中式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #51,,,,,,,,,,,,,,,,,pending,
049,燒肉同話－台北光復南店,燒肉／鐵板,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #52,,,,,,,,,,,,,,,,,pending,
050,厲家菜,台／中式,獨立／地方品牌,$$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #53,,,,,,,,,,,,,,,,,pending,
051,小南門傳統豆花美食,咖啡／輕食,獨立／地方品牌,$,中｜需確認分店官方頁,P2 補足多樣性,TA #54,,,,,,,,,,,,,,,,,pending,
052,徐淮人家,台／中式,獨立／地方品牌,$$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #55,,,,,,,,,,,,,,,,,pending,
055,添好運台北信義店,台／中式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #59,,,,,,,,,,,,,,,,,pending,
056,Ziga Zaga－台北君悅酒店,台／中式,連鎖／飯店,$$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #61,,,,,,,,,,,,,,,,,pending,
058,日本橋海鮮丼 辻半－微風信義店,日式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #63,,,,,,,,,,,,,,,,,pending,
059,穆記小吃牛肉麵館,台／中式,獨立／地方品牌,$,中｜需確認分店官方頁,P2 補足多樣性,TA #64,,,,,,,,,,,,,,,,,pending,
060,橘色涮涮屋新光三越A9店,鍋物,連鎖／飯店,$$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #65,,,,,,,,,,,,,,,,,pending,
061,時時香－微風南山店,台／中式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #66,,,,,,,,,,,,,,,,,pending,
062,L.A PHO 越南美食餐廳,東南／南亞,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #67,,,,,,,,,,,,,,,,,pending,
063,寒舍食譜－台北寒舍艾美酒店,台／中式,連鎖／飯店,$$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #68,,,,,,,,,,,,,,,,,pending,
065,愛爾蘭瘋薯（信義威秀）,台／中式,獨立／地方品牌,$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #70,,,,,,,,,,,,,,,,,pending,
068,雲錦中餐廳－台北君悅酒店,台／中式,連鎖／飯店,$$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #73,,,,,,,,,,,,,,,,,pending,
069,味美早餐店 Wei Mei Breakfast Restaurant,咖啡／輕食,獨立／地方品牌,$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #74,,,,,,,,,,,,,,,,,pending,
071,Just Grill,西式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #76,,,,,,,,,,,,,,,,,pending,
072,永心鳳茶,台／中式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #77,,,,,,,,,,,,,,,,,pending,
073,歐帕希臘小館,台／中式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #78,,,,,,,,,,,,,,,,,pending,
074,Osteria by Angie,西式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #79,,,,,,,,,,,,,,,,,pending,
075,紅花鐵板燒－台北101旗艦店,燒肉／鐵板,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #80,,,,,,,,,,,,,,,,,pending,
076,開飯川食堂－台北阪急店,台／中式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #82,,,,,,,,,,,,,,,,,pending,
077,珍寶海鮮台北信義店,台／中式,連鎖／飯店,$$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #83,,,,,,,,,,,,,,,,,pending,
078,酮版低糖餐廳,台／中式,獨立／地方品牌,$$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #84,,,,,,,,,,,,,,,,,pending,
079,金色三麥－微風南山店,台／中式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #85,,,,,,,,,,,,,,,,,pending,
080,稻舍食館－統一時代店,台／中式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #86,,,,,,,,,,,,,,,,,pending,
083,Cheers－台北君悅酒店,台／中式,連鎖／飯店,$$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #89,,,,,,,,,,,,,,,,,pending,
084,非常泰概念餐坊－Neo19店,東南／南亞,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #90,,,,,,,,,,,,,,,,,pending,
085,段純貞牛肉麵,台／中式,連鎖／飯店,$,低｜品牌／飯店頁預期可定位,P1 優先,TA #91,,,,,,,,,,,,,,,,,pending,
087,Seasons by Olivier E.,台／中式,獨立／地方品牌,$$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #93,,,,,,,,,,,,,,,,,pending,
088,瓦城泰國料理－松山車站店,東南／南亞,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #94,,,,,,,,,,,,,,,,,pending,
089,The Chapter Cafe,咖啡／輕食,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #95,,,,,,,,,,,,,,,,,pending,
090,One Rule,台／中式,獨立／地方品牌,$$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #96,,,,,,,,,,,,,,,,,pending,
092,輪輪1976 和食茶酒驛,日式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #98,,,,,,,,,,,,,,,,,pending,
094,施家麻油腰花,台／中式,獨立／地方品牌,$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #100,,,,,,,,,,,,,,,,,pending,
095,鯤壽司,日式,獨立／地方品牌,$$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #101,,,,,,,,,,,,,,,,,pending,
096,大心新泰式麵食－台北信義威秀店,東南／南亞,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #102,,,,,,,,,,,,,,,,,pending,
097,納達吉印度料理 Nataraj,東南／南亞,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #103,,,,,,,,,,,,,,,,,pending,
098,北平都一處,台／中式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #104,,,,,,,,,,,,,,,,,pending,
099,小後苑,台／中式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #105,,,,,,,,,,,,,,,,,pending,
100,百家班活蝦店－基隆路店,台／中式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #106,,,,,,,,,,,,,,,,,pending,
101,北平陶然亭 Beijing－Do It True,台／中式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #107,,,,,,,,,,,,,,,,,pending,
102,NOLA Kitchen－信義店,西式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #108,,,,,,,,,,,,,,,,,pending,
103,阮小越,台／中式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #110,,,,,,,,,,,,,,,,,pending,
104,牛かつもと村－遠百信義A13,日式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #111,,,,,,,,,,,,,,,,,pending,
105,瓦城泰國料理－新光三越信義店,東南／南亞,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #112,,,,,,,,,,,,,,,,,pending,
106,黑毛屋信義店,鍋物,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #113,,,,,,,,,,,,,,,,,pending,
107,陳根找茶,台／中式,獨立／地方品牌,$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #114,,,,,,,,,,,,,,,,,pending,
108,戴記獨臭之家,台／中式,獨立／地方品牌,$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #115,,,,,,,,,,,,,,,,,pending,
109,楓樹韓國烤肉,燒肉／鐵板,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #116,,,,,,,,,,,,,,,,,pending,
110,饗泰多－松高店,東南／南亞,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #117,,,,,,,,,,,,,,,,,pending,
112,心月懷石日本料理,日式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #119,,,,,,,,,,,,,,,,,pending,
113,周胖子餃子館－忠孝店,台／中式,獨立／地方品牌,$,中｜需確認分店官方頁,P2 補足多樣性,TA #120,,,,,,,,,,,,,,,,,pending,
114,Divadlo 捷克公寓,西式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #121,,,,,,,,,,,,,,,,,pending,
115,YABI Kitchen－微風南山店,東南／南亞,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #122,,,,,,,,,,,,,,,,,pending,
116,I Met You Cafe,咖啡／輕食,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #123,,,,,,,,,,,,,,,,,pending,
117,大戶屋－松山車站店,日式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #125,,,,,,,,,,,,,,,,,pending,
120,Hong Kong 88 Hot Pot,台／中式,獨立／地方品牌,$$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #128,,,,,,,,,,,,,,,,,pending,
121,Bing,台／中式,獨立／地方品牌,$$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #129,,,,,,,,,,,,,,,,,pending,
122,MiaCucina－信義店,台／中式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #130,,,,,,,,,,,,,,,,,pending,
123,渣男 Taiwan Bistro,台／中式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #131,,,,,,,,,,,,,,,,,pending,
124,劉媽媽涼麵,台／中式,獨立／地方品牌,$,中｜需確認分店官方頁,P2 補足多樣性,TA #132,,,,,,,,,,,,,,,,,pending,
125,KingSpicy J,台／中式,獨立／地方品牌,$$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #133,,,,,,,,,,,,,,,,,pending,
127,上席小館,台／中式,獨立／地方品牌,$$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #135,,,,,,,,,,,,,,,,,pending,
128,紅豆食府－信義店,台／中式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #137,,,,,,,,,,,,,,,,,pending,
129,犇－微風信義館,台／中式,連鎖／飯店,$$$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #138,,,,,,,,,,,,,,,,,pending,
130,元食 Cafe,咖啡／輕食,獨立／地方品牌,$$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #139,,,,,,,,,,,,,,,,,pending,
131,CPK 加州創意廚房,西式,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,TA #140,,,,,,,,,,,,,,,,,pending,
132,三太養生鐵板燒,燒肉／鐵板,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #142,,,,,,,,,,,,,,,,,pending,
134,宋廚北方菜館,台／中式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #144,,,,,,,,,,,,,,,,,pending,
135,辛殿麻辣鍋－信義店,鍋物,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #146,,,,,,,,,,,,,,,,,pending,
136,同壽司－信義區,日式,獨立／地方品牌,$$,中｜需確認分店官方頁,P2 補足多樣性,TA #147,,,,,,,,,,,,,,,,,pending,
137,拾穗,台／中式,獨立／地方品牌,$$,高｜可能僅社群／平台頁,P3 備援／先驗證,TA #148,,,,,,,,,,,,,,,,,pending,
139,老井極上燒肉－台北信義店,燒肉／鐵板,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,官方／Inline,,,,,,,,,,,,,,,,,pending,
140,TAMED FOX－信義店,咖啡／輕食,連鎖／飯店,$$,低｜品牌／飯店頁預期可定位,P1 優先,官方社群／Inline,,,,,,,,,,,,,,,,,pending,
