"candidate_id","candidate_name","cuisine_stratum","business_type_stratum","price_band","legacy_priority","provisional_brand_domain","source_review_status","eligibility_decision","eligibility_reviewer","eligibility_reviewed_at","evidence_urls","official_site_url","official_domain_status","shared_domain_flag","owned_urls","measurement_eligibility","cohort_status","cohort_exclusion_reason","baseline_active_status","selected_for_measurement","selection_reason","notes"
"23","侯布雄法式餐廳","西式","連鎖／飯店","$$$$","P1 優先","","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"24","老乾杯－台北信義店","燒肉／鐵板","連鎖／飯店","$$$","P1 優先","kanpaiclassic.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"25","French Windows－British TeaHouse","咖啡／輕食","獨立／地方品牌","$$","P3 備援／先驗證","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"26","欣葉台菜－信義A9店","台／中式","連鎖／飯店","$$","P1 優先","shinyeh.com.tw","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"27","Meat Love 橡木炭火韓國烤肉","燒肉／鐵板","獨立／地方品牌","$$","P2 補足多樣性","meatlove.tw","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"28","Saffron 46","東南／南亞","獨立／地方品牌","$$$$","P2 補足多樣性","saffron46.com","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"29","春水堂－松菸店","台／中式","連鎖／飯店","$$","P1 優先","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"30","Woolloomooloo","西式","獨立／地方品牌","$$","P2 補足多樣性","woolloomooloo.tw","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"31","馬辣頂級麻辣鴛鴦火鍋信義店","鍋物","連鎖／飯店","$$","P1 優先","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"32","饗食天堂信義店","自助餐","連鎖／飯店","$$","P1 優先","eatogether.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"33","Smith & Wollensky 牛排館","西式","連鎖／飯店","$$$$","P1 優先","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"34","頂鮮101美食美景餐廳","台／中式","獨立／地方品牌","$$$$","P3 備援／先驗證","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"35","心潮飯店 Sinchao Rice Shoppe","台／中式","獨立／地方品牌","$$$","P2 補足多樣性","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"36","Hooters Xinyi 美式餐廳","西式","連鎖／飯店","$$","P1 優先","hooters.com.tw","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"37","凱林鐵板燒","燒肉／鐵板","獨立／地方品牌","$$","P3 備援／先驗證","karenteppanyaki.com","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"38","DA ANTONIO By 大安東尼","台／中式","獨立／地方品牌","$$","P2 補足多樣性","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"39","樂天皇朝台灣","台／中式","獨立／地方品牌","$$","P2 補足多樣性","paradisegp.com","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"40","TGI Friday's","西式","連鎖／飯店","$$","P1 優先","tgifridays.com.tw","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"41","欣葉日本料理信義店","日式","連鎖／飯店","$$","P1 優先","shinyeh.com.tw","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"42","莫爾頓牛排館","西式","連鎖／飯店","$$$$","P1 優先","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"43","春水堂－信義新光三越A9店","台／中式","連鎖／飯店","$$","P1 優先","","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"44","瓦城泰國料理－台北阪急店","東南／南亞","連鎖／飯店","$$","P1 優先","thaitown.com.tw","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"45","GB鮮釀餐廳信義店","台／中式","連鎖／飯店","$$","P1 優先","","source_gap","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"46","Bel Air Bar & Grill","西式","獨立／地方品牌","$$","P2 補足多樣性","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"47","茶苑－台北君悅酒店","咖啡／輕食","連鎖／飯店","$$$","P1 優先","","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"48","漂亮台式海鮮餐廳","台／中式","獨立／地方品牌","$$","P2 補足多樣性","","source_gap","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"49","燒肉同話－台北光復南店","燒肉／鐵板","連鎖／飯店","$$","P1 優先","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"50","厲家菜","台／中式","獨立／地方品牌","$$","P3 備援／先驗證","","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"51","小南門傳統豆花美食","咖啡／輕食","獨立／地方品牌","$","P2 補足多樣性","","government_name_lead_needs_store_identity_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"52","徐淮人家","台／中式","獨立／地方品牌","$$","P3 備援／先驗證","","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"53","夜上海","台／中式","獨立／地方品牌","$$","P2 補足多樣性","elite-concepts.com","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"54","Joyce East","西式","獨立／地方品牌","$$","P2 補足多樣性","joycecafetw.com","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"55","添好運台北信義店","台／中式","連鎖／飯店","$$","P1 優先","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"56","Ziga Zaga－台北君悅酒店","台／中式","連鎖／飯店","$$$","P1 優先","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"57","原木燒烤餐廳 Wildwood","台／中式","獨立／地方品牌","$$$","P2 補足多樣性","wildwood.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"58","日本橋海鮮丼 辻半－微風信義店","日式","連鎖／飯店","$$","P1 優先","","source_gap","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"59","穆記小吃牛肉麵館","台／中式","獨立／地方品牌","$","P2 補足多樣性","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"60","橘色涮涮屋新光三越A9店","鍋物","連鎖／飯店","$$$","P1 優先","","source_gap","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"61","時時香－微風南山店","台／中式","連鎖／飯店","$$","P1 優先","ricebar.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"62","L.A PHO 越南美食餐廳","東南／南亞","獨立／地方品牌","$$","P2 補足多樣性","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"63","寒舍食譜－台北寒舍艾美酒店","台／中式","連鎖／飯店","$$$","P1 優先","","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"64","The Ukai Taipei","燒肉／鐵板","連鎖／飯店","$$$$","P1 優先","ukai.co.jp","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"65","愛爾蘭瘋薯（信義威秀）","台／中式","獨立／地方品牌","$","P3 備援／先驗證","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"66","85TD Chinese Restaurant","台／中式","連鎖／飯店","$$$$","P1 優先","85td-101.com","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"67","JK STUDIO","台／中式","獨立／地方品牌","$$$","P2 補足多樣性","jkstudio.tw","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"68","雲錦中餐廳－台北君悅酒店","台／中式","連鎖／飯店","$$$","P1 優先","","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"69","味美早餐店 Wei Mei Breakfast Restaurant","咖啡／輕食","獨立／地方品牌","$","P3 備援／先驗證","","source_gap","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"70","TWG Tea at Taipei 101","咖啡／輕食","連鎖／飯店","$$","P1 優先","twgtea.com","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"71","Just Grill","西式","獨立／地方品牌","$$","P2 補足多樣性","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"72","永心鳳茶","台／中式","獨立／地方品牌","$$","P2 補足多樣性","","government_name_lead_needs_store_identity_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"73","歐帕希臘小館","台／中式","獨立／地方品牌","$$","P2 補足多樣性","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"74","Osteria by Angie","西式","獨立／地方品牌","$$","P2 補足多樣性","","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"75","紅花鐵板燒－台北101旗艦店","燒肉／鐵板","連鎖／飯店","$$","P1 優先","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"76","開飯川食堂－台北阪急店","台／中式","連鎖／飯店","$$","P1 優先","kaifun.com.tw","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"77","珍寶海鮮台北信義店","台／中式","連鎖／飯店","$$$","P1 優先","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"78","酮版低糖餐廳","台／中式","獨立／地方品牌","$$","P3 備援／先驗證","","source_gap","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"79","金色三麥－微風南山店","台／中式","連鎖／飯店","$$","P1 優先","lebledor.com","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"80","稻舍食館－統一時代店","台／中式","連鎖／飯店","$$","P1 優先","rice1923.com","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"81","點點心","台／中式","連鎖／飯店","$$","P1 優先","dimdimsum.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"82","Herbivore","咖啡／輕食","獨立／地方品牌","$$","P2 補足多樣性","","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"83","Cheers－台北君悅酒店","台／中式","連鎖／飯店","$$$","P1 優先","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"84","非常泰概念餐坊－Neo19店","東南／南亞","連鎖／飯店","$$","P1 優先","verythai.com.tw","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"85","段純貞牛肉麵","台／中式","連鎖／飯店","$","P1 優先","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"86","燒肉中山 Zonzen","燒肉／鐵板","獨立／地方品牌","$$","P2 補足多樣性","zonzen.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"87","Seasons by Olivier E.","台／中式","獨立／地方品牌","$$","P3 備援／先驗證","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"88","瓦城泰國料理－松山車站店","東南／南亞","連鎖／飯店","$$","P1 優先","thaitown.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"89","The Chapter Cafe","咖啡／輕食","獨立／地方品牌","$$","P2 補足多樣性","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"90","One Rule","台／中式","獨立／地方品牌","$$","P3 備援／先驗證","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"91","勝博殿日式炸豬排","日式","連鎖／飯店","$$","P1 優先","","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"92","輪輪1976 和食茶酒驛","日式","獨立／地方品牌","$$","P2 補足多樣性","","source_gap","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"93","Khana Khazana Indian Kitchen","東南／南亞","獨立／地方品牌","$$","P2 補足多樣性","khanakhazana.com.tw","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"94","施家麻油腰花","台／中式","獨立／地方品牌","$","P3 備援／先驗證","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"95","鯤壽司","日式","獨立／地方品牌","$$","P3 備援／先驗證","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"96","大心新泰式麵食－台北信義威秀店","東南／南亞","連鎖／飯店","$$","P1 優先","bheartnoodles.com","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"97","納達吉印度料理 Nataraj","東南／南亞","獨立／地方品牌","$$","P2 補足多樣性","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"98","北平都一處","台／中式","獨立／地方品牌","$$","P2 補足多樣性","","government_name_lead_needs_store_identity_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"99","小後苑","台／中式","獨立／地方品牌","$$","P2 補足多樣性","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"100","百家班活蝦店－基隆路店","台／中式","獨立／地方品牌","$$","P2 補足多樣性","heyahh.com.tw","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"101","北平陶然亭 Beijing－Do It True","台／中式","獨立／地方品牌","$$","P2 補足多樣性","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"102","NOLA Kitchen－信義店","西式","獨立／地方品牌","$$","P2 補足多樣性","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"103","阮小越","台／中式","獨立／地方品牌","$$","P2 補足多樣性","","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"104","牛かつもと村－遠百信義A13","日式","獨立／地方品牌","$$","P2 補足多樣性","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"105","瓦城泰國料理－新光三越信義店","東南／南亞","連鎖／飯店","$$","P1 優先","thaitown.com.tw","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"106","黑毛屋信義店","鍋物","獨立／地方品牌","$$","P2 補足多樣性","honke.kurogeya.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"107","陳根找茶","台／中式","獨立／地方品牌","$","P3 備援／先驗證","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"108","戴記獨臭之家","台／中式","獨立／地方品牌","$","P3 備援／先驗證","","government_name_lead_needs_store_identity_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"109","楓樹韓國烤肉","燒肉／鐵板","獨立／地方品牌","$$","P2 補足多樣性","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"110","饗泰多－松高店","東南／南亞","連鎖／飯店","$$","P1 優先","siammore.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"111","SUBWAY Taipei 101","台／中式","連鎖／飯店","$","P1 優先","subway.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"112","心月懷石日本料理","日式","獨立／地方品牌","$$","P2 補足多樣性","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"113","周胖子餃子館－忠孝店","台／中式","獨立／地方品牌","$","P2 補足多樣性","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"114","Divadlo 捷克公寓","西式","獨立／地方品牌","$$","P2 補足多樣性","","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"115","YABI Kitchen－微風南山店","東南／南亞","連鎖／飯店","$$","P1 優先","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"116","I Met You Cafe","咖啡／輕食","獨立／地方品牌","$$","P2 補足多樣性","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"117","大戶屋－松山車站店","日式","連鎖／飯店","$$","P1 優先","","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"118","大戶屋－統一時代台北店","日式","連鎖／飯店","$$","P1 優先","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"119","In Between","西式","獨立／地方品牌","$$","P2 補足多樣性","","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"120","Hong Kong 88 Hot Pot","台／中式","獨立／地方品牌","$$","P3 備援／先驗證","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"121","Bing","台／中式","獨立／地方品牌","$$","P3 備援／先驗證","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"122","MiaCucina－信義店","台／中式","連鎖／飯店","$$","P1 優先","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"123","渣男 Taiwan Bistro","台／中式","獨立／地方品牌","$$","P2 補足多樣性","","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"124","劉媽媽涼麵","台／中式","獨立／地方品牌","$","P2 補足多樣性","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"125","KingSpicy J","台／中式","獨立／地方品牌","$$","P3 備援／先驗證","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"126","Sea to Sky","台／中式","獨立／地方品牌","$$$","P2 補足多樣性","seatosky.com.tw","higher_tier_page_observed_address_crosscheck_needed","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"127","上席小館","台／中式","獨立／地方品牌","$$","P3 備援／先驗證","","government_name_lead_needs_store_identity_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"128","紅豆食府－信義店","台／中式","獨立／地方品牌","$$","P2 補足多樣性","","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"129","犇－微風信義館","台／中式","連鎖／飯店","$$$$","P1 優先","bencuisine.com","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"130","元食 Cafe","咖啡／輕食","獨立／地方品牌","$$","P3 備援／先驗證","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"131","CPK 加州創意廚房","西式","連鎖／飯店","$$","P1 優先","","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"132","三太養生鐵板燒","燒肉／鐵板","獨立／地方品牌","$$","P2 補足多樣性","","source_gap","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"133","MiraWan","西式","獨立／地方品牌","$$$$","P2 補足多樣性","mirawan.com.tw","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"134","宋廚北方菜館","台／中式","獨立／地方品牌","$$","P2 補足多樣性","","source_gap","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"135","辛殿麻辣鍋－信義店","鍋物","獨立／地方品牌","$$","P2 補足多樣性","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"136","同壽司－信義區","日式","獨立／地方品牌","$$","P2 補足多樣性","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"137","拾穗","台／中式","獨立／地方品牌","$$","P3 備援／先驗證","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"138","柏克金啤酒餐廳","台／中式","連鎖／飯店","$$","P1 優先","buckskinrestaurantgroup.com.tw","third_party_page_lead_only","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"139","老井極上燒肉－台北信義店","燒肉／鐵板","連鎖／飯店","$$","P1 優先","lao-jing.com","ready_for_manual_eligibility_review","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
"140","TAMED FOX－信義店","咖啡／輕食","連鎖／飯店","$$","P1 優先","","government_address_crosscheck_lead","pending_human_review","","","","","pending","pending","","pending","candidate","","pending","pending","",""
